date;cost;
27.01.2018;2430.97;
28.01.2018;2430.97;
29.01.2018;2440.32;
30.01.2018;2440.32;
31.01.2018;2435.46;
01.02.2018;2426.57;
02.02.2018;2425.84;
03.02.2018;2423.36;
04.02.2018;2423.36;
05.02.2018;2434.36;
06.02.2018;2434.36;
07.02.2018;2473.69;
08.02.2018;2432.6;
09.02.2018;2431.01;
10.02.2018;2461.36;
11.02.2018;2461.36;
12.02.2018;2465.36;
13.02.2018;2465.36;
14.02.2018;2469.16;
15.02.2018;2463.96;
16.02.2018;2463.01;
17.02.2018;2461.6;
18.02.2018;2461.6;
19.02.2018;2440.81;
20.02.2018;2440.81;
21.02.2018;2430.27;
22.02.2018;2419.99;
23.02.2018;2415.26;
24.02.2018;2413.3125;
25.02.2018;2411.365;
26.02.2018;2409.4175;
27.02.2018;2407.47;
28.02.2018;2385.47;
