дата;цена
10.11.2017;2 446,04
11.11.2017;2 448,06
12.11.2017;2 448,06
13.11.2017;2 432,48
14.11.2017;2 432,48
15.11.2017;2 441,49
16.11.2017;2 490,46
17.11.2017;2 464,32
18.11.2017;2 461,43
19.11.2017;2 461,43
20.11.2017;2 462,86
21.11.2017;2 462,86
22.11.2017;2 446,97
23.11.2017;2 435,77
24.11.2017;2 424,97
25.11.2017;2 425,97
26.11.2017;2 425,97
27.11.2017;2 425,82
28.11.2017;2 425,82
29.11.2017;2 429,95
30.11.2017;2 428,34
01.12.2017;2 414,85
02.12.2017;2 403,02
03.12.2017;2 403,02
04.12.2017;2 425,95
05.12.2017;2 425,95
06.12.2017;2 407,63
07.12.2017;2 403,37
08.12.2017;2 395,93
09.12.2017;2 374,50
10.12.2017;2 374,50
11.12.2017;2 383,22
12.12.2017;2 383,22
13.12.2017;2 352,08
14.12.2017;2 360,95
15.12.2017;2 369,96
16.12.2017;2 380,77
17.12.2017;2 380,77
18.12.2017;2 375,14
19.12.2017;2 375,14
20.12.2017;2 380,20
21.12.2017;2 389,85
22.12.2017;2 383,26
23.12.2017;2 377,44
24.12.2017;2 377,44
25.12.2017;2 372,69
26.12.2017;2 372,69
27.12.2017;2 353,75
28.12.2017;2 374,39
29.12.2017;2 393,10
30.12.2017;2 400,97
31.12.2017;2 401,95
01.01.2018;2 402,92
02.01.2018;2 403,90
03.01.2018;2 404,88
04.01.2018;2 405,86
05.01.2018;2 406,83
06.01.2018;2 407,81
07.01.2018;2 408,79
08.01.2018;2 409,77
09.01.2018;2 410,74
10.01.2018;2 411,72
11.01.2018;2 416,66
12.01.2018;2 418,56
13.01.2018;2 425,60
14.01.2018;2 425,60
15.01.2018;2 433,40
16.01.2018;2 433,40
17.01.2018;2 420,14
18.01.2018;2 433,29
19.01.2018;2 426,61
20.01.2018;2 430,33
21.01.2018;2 430,33
22.01.2018;2 428,91
23.01.2018;2 428,91
24.01.2018;2 425,06
25.01.2018;2 448,38
26.01.2018;2 445,94
27.01.2018;2 430,97
28.01.2018;2 430,97
29.01.2018;2 440,32
30.01.2018;2 440,32
31.01.2018;2 435,46
01.02.2018;2 426,57
02.02.2018;2 425,84
03.02.2018;2 423,36
04.02.2018;2 423,36
05.02.2018;2 434,36
06.02.2018;2 434,36
07.02.2018;2 473,69
08.02.2018;2 432,60
09.02.2018;2 431,01
10.02.2018;2 461,36
11.02.2018;2 461,36
12.02.2018;2 465,36
13.02.2018;2 465,36
14.02.2018;2 469,16
15.02.2018;2 463,96
16.02.2018;2 463,01
17.02.2018;2 461,60
18.02.2018;2 461,60
19.02.2018;2 440,81
20.02.2018;2 440,81
21.02.2018;2 430,27
22.02.2018;2 419,99
23.02.2018;2 415,26
24.02.2018;2 413,31
25.02.2018;2 411,37
26.02.2018;2 409,42
27.02.2018;2 407,47
28.02.2018;2 385,47
